Using device: cuda
Document table: docs
Document id column: id
Document text column: text
Loaded queries: 808731
Excluded token ids: [101, 102]
Excluded tokens: ['[CLS]', '[SEP]']
Effective trainable embedding parameters: 31252480
Total model parameters: 335143938
Effective trainable percentage: 9.325091835616016
Step 62100/100000 | loss = 0.5439
Step 62200/100000 | loss = 0.5581
Step 62300/100000 | loss = 0.5507
Step 62400/100000 | loss = 0.5534
Step 62500/100000 | loss = 0.5451
Step 62600/100000 | loss = 0.5524
Step 62700/100000 | loss = 0.5522
Step 62800/100000 | loss = 0.5535
Step 62900/100000 | loss = 0.5568
Step 63000/100000 | loss = 0.5592
Step 63100/100000 | loss = 0.5472
Step 63200/100000 | loss = 0.5585
Step 63300/100000 | loss = 0.5472
Step 63400/100000 | loss = 0.5550
Step 63500/100000 | loss = 0.5572
Step 63600/100000 | loss = 0.5532
Step 63700/100000 | loss = 0.5546
Step 63800/100000 | loss = 0.5500
Step 63900/100000 | loss = 0.5599
Step 64000/100000 | loss = 0.5439
Step 64100/100000 | loss = 0.5481
Step 64200/100000 | loss = 0.5495
Step 64300/100000 | loss = 0.5499
Step 64400/100000 | loss = 0.5452
Step 64500/100000 | loss = 0.5408
Step 64600/100000 | loss = 0.5518
Step 64700/100000 | loss = 0.5517
Step 64800/100000 | loss = 0.5550
Step 64900/100000 | loss = 0.5502
Step 65000/100000 | loss = 0.5499
Step 65100/100000 | loss = 0.5531
Step 65200/100000 | loss = 0.5510
Step 65300/100000 | loss = 0.5538
Step 65400/100000 | loss = 0.5575
Step 65500/100000 | loss = 0.5453
Step 65600/100000 | loss = 0.5475
Step 65700/100000 | loss = 0.5456
Step 65800/100000 | loss = 0.5519
Step 65900/100000 | loss = 0.5476
Step 66000/100000 | loss = 0.5465
Step 66100/100000 | loss = 0.5395
Step 66200/100000 | loss = 0.5495
Step 66300/100000 | loss = 0.5496
Step 66400/100000 | loss = 0.5561
Step 66500/100000 | loss = 0.5390
Step 66600/100000 | loss = 0.5423
Step 66700/100000 | loss = 0.5456
Step 66800/100000 | loss = 0.5369
Step 66900/100000 | loss = 0.5392
Step 67000/100000 | loss = 0.5388
Step 67100/100000 | loss = 0.5439
Step 67200/100000 | loss = 0.5356
Step 67300/100000 | loss = 0.5430
Step 67400/100000 | loss = 0.5543
Step 67500/100000 | loss = 0.5519
Step 67600/100000 | loss = 0.5430
Step 67700/100000 | loss = 0.5537
Step 67800/100000 | loss = 0.5474
Step 67900/100000 | loss = 0.5445
Step 68000/100000 | loss = 0.5496
Step 68100/100000 | loss = 0.5388
Step 68200/100000 | loss = 0.5403
Step 68300/100000 | loss = 0.5389
Step 68400/100000 | loss = 0.5499
Step 68500/100000 | loss = 0.5390
Step 68600/100000 | loss = 0.5428
Step 68700/100000 | loss = 0.5424
Step 68800/100000 | loss = 0.5430
Step 68900/100000 | loss = 0.5449
Step 69000/100000 | loss = 0.5383
